Time,torget_pm10_nilu,torget_pm10_iot,torget_opctemp_iot,torget_opchum_iot
2021-02-26 00:00:00,,2.02562796501886,11.7619047619048,47.6190476190476
2021-02-26 01:00:00,,0.863297216594219,12,51.2
2021-02-26 02:00:00,,4.34867536425591,12.2,52.3
2021-02-26 03:00:00,,2.71898639202118,13,51.5714285714286
2021-02-26 04:00:00,,0.535883064780917,12.1904761904762,52.5714285714286
2021-02-26 05:00:00,,0.367475813627243,12,52
2021-02-26 06:00:00,,1.16806921809912,12,53
2021-02-26 07:00:00,,8.14076128743944,13,54.4285714285714
2021-02-26 08:00:00,,7.23204387937273,13,53.2380952380952
2021-02-26 09:00:00,,7.03095296621323,12.6,53.65
2021-02-26 10:00:00,,9.55043013890584,12.6666666666667,50.4285714285714
2021-02-26 11:00:00,,7.75084009624663,13.4761904761905,47.2380952380952
2021-02-26 12:00:00,,4.95521305856251,13.5714285714286,46.9047619047619
2021-02-26 13:00:00,5.6,5.37581970691681,14.6,44.65
2021-02-26 14:00:00,3,5.43998667172023,14,46.3333333333333
2021-02-26 15:00:00,3.6,4.55287993521917,13.7619047619048,43.7619047619048
2021-02-26 16:00:00,3.7,4.71414319674174,13.7619047619048,42.3809523809524
2021-02-26 17:00:00,3.6,4.1462722659111,13,42.1
2021-02-26 18:00:00,4.7,4.2291099684579,13,43.1428571428572
2021-02-26 19:00:00,4.9,2.63426695371929,12.3684210526316,46.6842105263158
2021-02-26 20:00:00,8.3,2.5945500873384,11.6190476190476,48.2380952380952
2021-02-26 21:00:00,5.6,3.26799300909042,12,48.9
2021-02-26 22:00:00,6.1,2.13005181153615,12,48.5238095238095
2021-02-26 23:00:00,5.4,1.81809642201378,12,47.8095238095238
2021-02-27 00:00:00,3,1.75655296444893,12,47.1
2021-02-27 01:00:00,2.4,1.90517235369909,12,48.3809523809524
2021-02-27 02:00:00,2.3,1.30384565818877,12,51
2021-02-27 03:00:00,1.6,1.23508916014717,12,51.3809523809524
2021-02-27 04:00:00,1.2,0.774679249241238,12.3809523809524,50.1904761904762
2021-02-27 05:00:00,0.8,0.949981738626957,12.45,50.05
2021-02-27 06:00:00,0.5,0.937033860456376,12.3809523809524,50
2021-02-27 07:00:00,0.6,0.809813122664179,13,48.8095238095238
2021-02-27 08:00:00,0.5,0.757418111676262,13,48.2380952380952
2021-02-27 09:00:00,0.7,0.865594297647476,13.7619047619048,46.3333333333333
2021-02-27 10:00:00,1,0.710108980536461,14.95,44.55
2021-02-27 11:00:00,1.2,0.927020592348916,15.3809523809524,44.5238095238095
2021-02-27 12:00:00,1.3,0.812226475704284,16.5714285714286,43
2021-02-27 13:00:00,1.1,0.861989408731461,16.9047619047619,44.4285714285714
2021-02-27 14:00:00,0.9,6.23445691560444,16.8421052631579,43.3684210526316
2021-02-27 15:00:00,1.4,9.78313109988258,15.2380952380952,45.8095238095238
2021-02-27 16:00:00,4.2,12.3694393521264,15,45.7619047619048
2021-02-27 17:00:00,5.4,13.2162812096732,15,46.2857142857143
2021-02-27 18:00:00,7.3,10.5492611646652,14.4,47.6
2021-02-27 19:00:00,8.3,11.3697355985641,14,49.15
2021-02-27 20:00:00,7.1,19.8149273736136,14.6666666666667,47.7619047619048
2021-02-27 21:00:00,6.9,16.6672472476959,15,47.55
2021-02-27 22:00:00,11.6,11.8425726209368,15,49.2857142857143
2021-02-27 23:00:00,8.7,12.1416827610561,14.952380952381,50.9047619047619
2021-02-28 00:00:00,5.3,10.0233186086019,14.4761904761905,51.4285714285714
2021-02-28 01:00:00,4.2,6.10290198326111,14,51.45
2021-02-28 02:00:00,3,10.5843815803528,14,50.5714285714286
2021-02-28 03:00:00,2.2,11.6900265103295,14,49.3809523809524
2021-02-28 04:00:00,4,8.41110583714077,14,49
2021-02-28 05:00:00,5.3,8.51253211498261,14.5,48.1
2021-02-28 06:00:00,3.8,12.6953991027105,15,46.1428571428572
2021-02-28 07:00:00,4.7,11.2773712249029,15.3809523809524,43.1904761904762
2021-02-28 08:00:00,7.6,7.42697758674622,16,40.85
2021-02-28 09:00:00,8.1,5.65557824997675,16,39.1428571428571
2021-02-28 10:00:00,6.3,4.04209545680455,16.3809523809524,38.4285714285714
2021-02-28 11:00:00,4.9,3.39463566598438,17,36.2857142857143
2021-02-28 12:00:00,3.7,3.72680014967918,17.65,34.9
2021-02-28 13:00:00,3.5,4.50219047637213,18,33.1428571428571
2021-02-28 14:00:00,4.5,4.22412915456863,18,32.7142857142857
2021-02-28 15:00:00,6.1,3.65050630342393,18.2380952380952,31.952380952381
2021-02-28 16:00:00,7.8,3.68455518484116,17.6,32.7
2021-02-28 17:00:00,7.7,5.57847344307672,15.7619047619048,35.3809523809524
2021-02-28 18:00:00,8.2,7.14473245257423,14.2380952380952,38.1904761904762
2021-02-28 19:00:00,19.1,7.99586386907668,13,40.5238095238095
2021-02-28 20:00:00,22.9,7.45034949779511,13.25,40.55
2021-02-28 21:00:00,22,6.29859417960757,14,39.9047619047619
2021-02-28 22:00:00,13.2,5.80980571111043,13.2857142857143,39.6666666666667
2021-02-28 23:00:00,11.1,5.60159558341617,13,40
2021-03-01 00:00:00,8.2,5.81276531219482,13,40.05
2021-03-01 01:00:00,7.2,5.81669593992687,12.4285714285714,40.952380952381
2021-03-01 02:00:00,6.3,4.63268651281084,12.8095238095238,40.8095238095238
2021-03-01 03:00:00,5.2,3.53618687675113,14,38.4761904761905
2021-03-01 04:00:00,4.5,2.41717381477356,14,38.45
2021-03-01 05:00:00,3.3,1.57394488936379,13.8571428571429,44.8571428571429
