Time,torget_pm25_nilu,torget_pm25_iot,torget_opctemp_iot,torget_opchum_iot,air_temperature,relative_humidity,precipitation,air_pressure,wind_speed,wind_direction
2022-03-11 13:00:00,9.838973,4.01,8.1,41,8.1,41,0,1006.4,3,62
2022-03-11 14:00:00,10.051221,3.8,9.8,32,9.8,32,0,1006.2,1.8,203
2022-03-11 15:00:00,6.507423,3.68,9.6,32,9.6,32,0,1006,2.4,162
2022-03-11 16:00:00,9.593726,3.89,9.2,34,9.2,34,0,1005.7,2.9,181
2022-03-11 17:00:00,10.614528,3.94,6.8,44,6.8,44,0,1005.5,2.2,87
2022-03-11 18:00:00,6.394888,3.64,6.2,44,6.2,44,0,1005.3,2.3,111
2022-03-11 19:00:00,7.316661,4.63,4.7,48,4.7,48,0,1005.3,2.4,89
2022-03-11 20:00:00,13.084413,5.41,4.3,47,4.3,47,0,1005,1.7,93
2022-03-11 21:00:00,17.698908,6.73,4.3,47,4.3,47,0,1004.8,1.5,123
2022-03-11 22:00:00,18.672232,5.88,3.9,46,3.9,46,0,1004.8,2.6,99
2022-03-11 23:00:00,15.05313,5.11,3.8,44,3.8,44,0,1004.5,1.2,166
2022-03-12 00:00:00,17.189404,5.14,1.7,50,1.7,50,0,1004.2,0.5,31
2022-03-12 01:00:00,18.716175,3.94,3.3,42,3.3,42,0,1004,0.9,228
2022-03-12 02:00:00,9.666487,3.28,0.7,52,0.7,52,0,1004.2,0.7,204
2022-03-12 03:00:00,7.522213,2.45,2.2,44,2.2,44,0,1003.5,1,107
2022-03-12 04:00:00,6.208305,2.34,1.4,43,1.4,43,0,1003.1,0.6,45
2022-03-12 05:00:00,5.959332,2.19,1.2,42,1.2,42,0,1003.2,1.1,247
2022-03-12 06:00:00,5.26168,2.18,1.4,41,1.4,41,0,1003,0.8,232
2022-03-12 07:00:00,2.836765,2.14,3.8,31,3.8,31,0,1003,1.8,188
2022-03-12 08:00:00,4.209576,1.76,3.7,31,3.7,31,0,1003,1.8,77
2022-03-12 09:00:00,5.729751,1.66,6.3,23,6.3,23,0,1002.9,6.6,180
2022-03-12 10:00:00,2.937313,1.67,7.1,23,7.1,23,0,1003.4,5.2,170
2022-03-12 11:00:00,5.136139,1.97,8.1,21,8.1,21,0,1003.3,2.9,183
2022-03-12 12:00:00,2.489033,2.09,8,24,8,24,0,1003,1.6,108
2022-03-12 13:00:00,8.607567,2.7,9.4,22,9.4,22,0,1002.9,2.9,189
2022-03-12 14:00:00,12.61682,2.24,10.1,22,10.1,22,0,1002.4,2.8,205
2022-03-12 15:00:00,3.434519,1.98,10.6,21,10.6,21,0,1002.2,2.4,200
2022-03-12 16:00:00,2.662076,2.24,11.3,21,11.3,21,0,1002.1,4,170
2022-03-12 17:00:00,5.41517,2.2,10.6,22,10.6,22,0,1002,5,168
2022-03-12 18:00:00,0.849297,2.65,9.4,23,9.4,23,0,1002.2,5,179
2022-03-12 19:00:00,4.684809,2.42,8.3,25,8.3,25,0,1001.8,5.6,167
2022-03-12 20:00:00,7.093809,2.64,7.8,26,7.8,26,0,1002.3,6.7,169
2022-03-12 21:00:00,7.391222,2.74,7.8,25,7.8,25,0,1002.3,6.2,174
2022-03-12 22:00:00,5.11331,2.4,7,27,7,27,0,1002.4,4.8,181
2022-03-12 23:00:00,2.29759,2.44,6.3,28,6.3,28,0,1002.4,4.3,186
2022-03-13 00:00:00,4.180902,2.6,5.8,29,5.8,29,0,1002.3,5.9,195
2022-03-13 01:00:00,6.108145,2.68,5.1,32,5.1,32,0,1003.3,6.9,214
2022-03-13 02:00:00,5.460837,2.94,4.9,35,4.9,35,0,1003.6,4.7,205
2022-03-13 03:00:00,8.469954,2.68,4.9,36,4.9,36,0,1003.5,6.3,187
2022-03-13 04:00:00,8.142758,2.77,4.5,39,4.5,39,0,1004.3,2.9,201
