"Time","SDS011 PM2.5"
2021-12-25 07:00:00,1.59
2021-12-25 08:00:00,2.16
2021-12-25 09:00:00,2.16
2021-12-25 10:00:00,2.19
2021-12-25 11:00:00,2.14
2021-12-25 12:00:00,1.81
2021-12-25 13:00:00,1.44
2021-12-25 14:00:00,1.18
2021-12-25 15:00:00,1.15
2021-12-25 16:00:00,1.34
2021-12-25 17:00:00,1.27
2021-12-25 18:00:00,1.70
2021-12-25 19:00:00,1.04
2021-12-25 20:00:00,0.787
2021-12-25 21:00:00,0.774
2021-12-25 22:00:00,0.974
2021-12-25 23:00:00,1.47
2021-12-26 00:00:00,1.13
2021-12-26 01:00:00,1.50
2021-12-26 02:00:00,1.81
2021-12-26 03:00:00,1.83
2021-12-26 04:00:00,2.82
2021-12-26 05:00:00,2.52
2021-12-26 06:00:00,2.56
2021-12-26 07:00:00,3.19
2021-12-26 08:00:00,2.88
2021-12-26 09:00:00,3.52
2021-12-26 10:00:00,5.01
2021-12-26 11:00:00,6.16
2021-12-26 12:00:00,8.62
2021-12-26 13:00:00,5.40
2021-12-26 14:00:00,5.92
2021-12-26 15:00:00,5.17
2021-12-26 16:00:00,2.40
2021-12-26 17:00:00,2.90
2021-12-26 18:00:00,3.10
2021-12-26 19:00:00,3.36
2021-12-26 20:00:00,5.08
2021-12-26 21:00:00,3.60
2021-12-26 22:00:00,2.08
2021-12-26 23:00:00,2.36
2021-12-27 00:00:00,2.20
2021-12-27 01:00:00,1.60
2021-12-27 02:00:00,1.23
2021-12-27 03:00:00,0.991
2021-12-27 04:00:00,0.818
2021-12-27 05:00:00,0.524
2021-12-27 06:00:00,0.603
2021-12-27 07:00:00,0.840
2021-12-27 08:00:00,1.15
2021-12-27 09:00:00,2.22
2021-12-27 10:00:00,3.23
2021-12-27 11:00:00,3.41
2021-12-27 12:00:00,5.77
2021-12-27 13:00:00,7.99
2021-12-27 14:00:00,7.87
2021-12-27 15:00:00,10.5
2021-12-27 16:00:00,12.8
2021-12-27 17:00:00,13.3
2021-12-27 18:00:00,16.3
2021-12-27 19:00:00,15.2
2021-12-27 20:00:00,13.9
2021-12-27 21:00:00,15.0
2021-12-27 22:00:00,13.1
2021-12-27 23:00:00,9.42
2021-12-28 00:00:00,6.83
2021-12-28 01:00:00,6.45
2021-12-28 02:00:00,4.08
2021-12-28 03:00:00,2.47
2021-12-28 04:00:00,1.58
2021-12-28 05:00:00,1.13
2021-12-28 06:00:00,1.05
2021-12-28 07:00:00,1.54
2021-12-28 08:00:00,2.63
